week_ending,08/08/2020,08/15/2020,08/22/2020,08/29/2020,09/05/2020,09/12/2020,09/19/2020,09/26/2020,10/03/2020,10/10/2020,10/17/2020,10/24/2020,10/31/2020,11/07/2020,11/14/2020,11/21/2020,11/28/2020,12/05/2020,12/12/2020,12/19/2020,12/26/2020,01/02/2021,01/09/2021,01/16/2021,01/23/2021,01/30/2021,02/06/2021,02/13/2021,02/20/2021,02/27/2021,03/06/2021,03/13/2021,03/20/2021,03/27/2021,04/03/2021,04/10/2021,04/17/2021,04/24/2021,05/01/2021,05/08/2021,05/15/2021,05/22/2021,05/29/2021,06/05/2021,06/12/2021,06/19/2021,06/26/2021,07/03/2021,07/10/2021,07/17/2021,07/24/2021,07/31/2021,08/07/2021,08/14/2021,08/21/2021,08/28/2021,09/04/2021,09/11/2021,09/18/2021,09/25/2021,10/02/2021,10/09/2021,10/16/2021,10/23/2021,10/30/2021,11/06/2021,11/13/2021,11/20/2021,11/27/2021,12/04/2021,12/11/2021,12/18/2021,12/25/2021,01/01/2022,01/08/2022,01/15/2022,01/22/2022,01/29/2022,02/05/2022,02/12/2022,02/19/2022,02/26/2022,03/05/2022,03/12/2022,03/19/2022
10465,13.91,18.55,16.23,23.19,23.19,23.19,9.28,20.87,60.29,39.42,76.53,85.8,64.93,71.89,162.33,252.77,278.28,475.39,378,364.08,431.33,656.27,635.4,584.39,558.88,542.64,473.07,387.27,412.78,347.85,322.34,296.83,308.43,340.89,324.66,264.36,220.3,190.16,85.8,62.61,67.25,34.78,27.83,23.19,25.51,6.96,9.28,23.19,23.19,41.74,113.63,157.69,176.24,171.61,187.84,185.52,148.42,155.37,164.65,150.73,139.14,69.57,83.48,51.02,55.66,39.42,108.99,85.8,115.95,271.32,259.73,698.02,2063.9,3775.31,3406.6,1447.05,600.62,259.73,127.54,71.89,48.7,25.51,23.19,16.23,23.19
10466,21.03,32.25,21.03,14.02,19.63,25.24,16.83,16.83,29.45,28.05,32.25,29.45,53.29,70.12,123.4,126.21,144.44,241.2,211.75,178.1,215.96,366.01,459.96,495.02,499.23,495.02,381.43,347.78,295.89,276.26,290.28,323.94,273.45,290.28,238.4,259.43,179.5,126.21,110.78,98.16,44.87,42.07,29.45,35.06,14.02,25.24,5.61,4.21,19.63,43.47,72.92,113.59,148.65,190.72,169.68,124.81,151.45,147.24,102.37,106.58,96.76,71.52,44.87,37.86,63.1,47.68,54.69,77.13,63.1,127.61,166.88,504.84,1818.82,3382.41,3315.1,1098.02,410.88,162.67,107.98,57.5,26.64,19.63,11.22,25.24,26.64
10467,29.39,27.44,13.72,22.54,25.48,22.54,20.58,34.29,33.31,33.31,41.15,60.75,63.69,90.14,147.95,167.55,220.46,259.65,246.92,268.47,279.25,379.19,567.32,590.84,619.25,577.12,450.72,420.35,381.15,363.52,343.92,309.63,279.25,334.12,274.35,286.11,225.36,170.49,127.38,88.18,47.03,33.31,19.6,17.64,21.56,14.7,8.82,22.54,28.42,42.13,66.63,89.16,131.3,161.67,166.57,171.47,148.93,116.6,131.3,139.14,116.6,63.69,62.71,58.79,50.95,51.93,73.49,83.29,103.86,161.67,196.95,597.7,1807.79,4158.4,3774.3,1519.72,641.79,275.33,130.32,60.75,47.03,32.33,22.54,24.5,29.39
10468,30.84,42.41,24.42,44.98,15.42,25.7,38.55,68.11,38.55,44.98,26.99,66.83,68.11,100.24,155.5,212.05,237.75,305.87,343.14,366.27,345.71,461.37,607.88,530.77,614.31,606.59,494.79,505.07,386.83,430.53,361.13,345.71,314.86,296.87,305.87,253.18,176.07,133.66,106.67,82.25,51.41,51.41,25.7,32.13,23.13,11.57,16.71,17.99,33.41,30.84,59.12,71.97,70.68,122.09,146.51,118.23,129.8,106.67,106.67,93.82,127.23,86.11,57.83,80.96,48.84,35.98,41.13,56.55,38.55,111.81,174.78,474.22,1872.48,3726.96,3633.14,1328.85,469.08,161.93,106.67,69.4,29.56,23.13,23.13,12.85,15.42
10469,11.02,17.9,20.66,19.28,11.02,9.64,16.53,20.66,27.54,44.07,24.79,41.31,34.43,66.1,92.26,106.04,143.22,224.47,263.02,294.7,293.32,356.67,510.9,380.08,457.19,384.21,313.98,275.42,279.55,296.07,260.27,240.99,240.99,358.04,282.3,227.22,161.12,123.94,88.13,67.48,41.31,33.05,19.28,28.92,16.53,13.77,19.28,11.02,12.39,24.79,44.07,93.64,125.32,162.5,206.56,158.37,159.74,115.68,74.36,108.79,85.38,74.36,38.56,46.82,34.43,52.33,48.2,59.21,70.23,140.46,213.45,535.69,1838.41,3353.21,3121.86,1291.71,542.57,247.88,106.04,71.61,24.79,23.41,37.18,23.41,38.56
10470,6.67,26.68,33.35,26.68,53.36,26.68,33.35,33.35,60.03,33.35,40.02,46.69,53.36,100.05,100.05,180.1,213.45,286.82,413.56,486.93,500.27,753.75,780.43,780.43,553.64,560.31,333.52,333.52,226.79,293.49,286.82,326.85,260.14,360.2,340.19,253.47,260.14,220.12,113.4,53.36,46.69,20.01,13.34,20.01,26.68,13.34,40.02,40.02,20.01,20.01,40.02,100.05,153.42,246.8,200.11,120.07,120.07,106.73,180.1,180.1,53.36,60.03,6.67,73.37,93.38,40.02,166.76,126.74,120.07,193.44,233.46,573.65,1901.04,3335.16,3328.49,1147.3,460.25,213.45,120.07,86.71,73.37,53.36,13.34,20.01,33.35
10471,28.25,18.83,14.12,32.96,37.66,9.42,23.54,28.25,32.96,70.62,47.08,37.66,47.08,75.33,164.78,160.07,216.56,315.43,258.93,353.09,376.63,451.95,560.24,414.29,409.58,357.8,371.92,343.67,324.84,244.81,216.56,263.64,211.85,169.48,183.61,164.78,103.57,70.62,136.53,61.2,84.74,136.53,47.08,47.08,28.25,14.12,14.12,37.66,23.54,42.37,70.62,108.28,108.28,160.07,127.11,94.16,122.4,127.11,75.33,103.57,108.28,37.66,51.79,84.74,131.82,70.62,127.11,80.03,94.16,169.48,174.19,706.18,1831.36,2692.9,2424.55,1450.02,753.26,404.88,211.85,131.82,51.79,51.79,51.79,42.37,103.57
10472,19.12,26.48,25.01,29.42,10.3,32.36,20.59,30.89,27.95,39.72,55.9,32.36,52.96,95.62,127.98,186.82,173.58,225.07,300.09,273.61,338.34,483.97,610.48,557.52,516.33,539.87,454.55,478.09,413.36,473.67,347.17,351.58,357.46,329.51,319.22,244.19,244.19,157.4,95.62,97.09,92.68,44.13,36.78,47.07,22.07,16.18,10.3,25.01,27.95,58.84,52.96,92.68,119.15,133.86,126.51,155.93,111.8,95.62,116.21,130.92,117.68,114.74,101.5,57.37,33.83,67.67,61.78,130.92,95.62,203,158.87,503.1,1885.87,3879.13,3924.73,1471.04,595.77,270.67,122.1,50.02,38.25,19.12,20.59,32.36,30.89
10473,23.68,33.83,20.3,28.76,15.23,16.92,28.76,30.45,27.07,55.83,42.29,84.59,69.36,113.35,159.02,257.15,196.24,311.28,318.05,312.97,375.57,470.31,610.72,597.19,563.35,568.43,422.94,394.18,290.98,387.41,373.88,311.28,368.8,346.81,301.13,253.76,197.93,165.79,140.41,101.5,60.9,40.6,23.68,37.22,33.83,23.68,6.77,23.68,37.22,72.75,91.35,184.4,182.71,192.86,218.24,214.85,167.48,208.08,135.34,108.27,115.04,72.75,55.83,37.22,49.06,62.59,103.2,160.72,104.89,137.03,226.69,669.93,2224.65,4633.69,3848.72,1585.17,620.87,257.15,125.19,77.82,52.44,32.14,42.29,15.23,49.06
10474,16.7,16.7,16.7,16.7,0,16.7,16.7,8.35,16.7,25.05,41.75,25.05,75.15,100.2,83.5,116.9,217.11,267.21,267.21,409.17,484.32,584.52,617.92,517.72,392.47,584.52,442.57,450.92,325.66,359.06,384.11,400.82,225.46,233.81,258.86,300.61,208.76,125.25,116.9,100.2,33.4,0,16.7,58.45,58.45,50.1,25.05,8.35,25.05,41.75,75.15,75.15,83.5,175.36,133.61,75.15,133.61,75.15,150.31,150.31,200.41,33.4,25.05,83.5,25.05,33.4,33.4,25.05,75.15,183.71,183.71,392.47,1494.71,3682.49,3624.04,1394.5,526.07,200.41,141.96,50.1,33.4,41.75,8.35,8.35,16.7
10475,28.08,28.08,14.04,11.7,25.74,23.4,21.06,39.78,16.38,39.78,25.74,21.06,30.42,74.88,112.31,93.6,109.97,166.13,170.81,152.09,194.21,292.48,397.78,470.32,425.86,379.06,343.96,283.13,329.92,271.43,241.01,205.91,191.87,231.65,184.85,156.77,184.85,116.99,95.93,65.52,42.12,28.08,23.4,14.04,11.7,14.04,18.72,11.7,25.74,32.76,63.18,116.99,133.37,161.45,231.65,189.53,128.69,105.29,79.56,114.65,74.88,74.88,39.78,30.42,23.4,30.42,58.5,58.5,60.84,102.95,184.85,540.51,1841.48,3694.67,3135.44,1293.95,491.37,299.5,107.63,93.6,32.76,21.06,28.08,11.7,28.08
11004,26.39,21.11,0,0,15.83,26.39,31.66,5.28,10.55,36.94,68.6,94.99,58.05,84.43,79.16,89.71,94.99,316.63,327.19,263.86,316.63,406.34,559.38,348.29,511.89,269.14,221.64,168.87,205.81,290.25,174.15,153.04,237.47,216.36,184.7,163.59,168.87,84.43,68.6,36.94,47.49,31.66,52.77,21.11,0,15.83,5.28,15.83,10.55,36.94,31.66,89.71,89.71,168.87,121.38,131.93,100.27,137.21,31.66,26.39,31.66,31.66,79.16,79.16,36.94,47.49,58.05,84.43,89.71,137.21,216.36,358.85,1303.46,2110.87,2063.38,1234.86,506.61,253.3,73.88,94.99,79.16,42.22,47.49,36.94,31.66
11101,8.14,27.15,27.15,40.72,24.43,16.29,32.58,54.3,51.58,46.15,48.87,51.58,67.87,105.88,173.75,119.45,179.17,271.48,374.64,309.48,350.21,347.49,545.67,409.93,323.06,377.35,301.34,295.91,287.77,290.48,295.91,342.06,344.78,339.35,298.62,252.47,211.75,124.88,62.44,59.72,24.43,8.14,24.43,10.86,19,16.29,24.43,51.58,65.15,73.3,105.88,97.73,135.74,176.46,187.32,162.89,187.32,192.75,165.6,138.45,105.88,124.88,103.16,76.01,95.02,133.02,89.59,184.6,184.6,252.47,323.06,1756.46,3073.12,4115.59,3518.34,1688.59,838.86,344.78,203.61,157.46,89.59,89.59,92.3,100.45,157.46
11102,19.97,16.64,29.96,16.64,26.63,29.96,26.63,43.27,96.52,86.54,49.93,43.27,99.85,126.48,189.72,249.63,209.69,299.55,392.75,426.03,359.46,465.97,609.09,432.69,386.09,439.34,339.49,409.39,306.21,322.85,319.52,382.76,406.06,409.39,412.72,322.85,196.37,149.78,109.84,36.61,49.93,29.96,36.61,19.97,6.66,6.66,13.31,13.31,46.6,56.58,106.51,149.78,199.7,252.96,179.73,169.75,113.16,166.42,206.36,179.73,129.81,103.18,59.91,69.9,59.91,123.15,143.12,179.73,216.34,276.25,242.97,1464.48,2749.23,3830.95,3318.38,1467.81,702.29,429.36,183.06,123.15,103.18,79.88,49.93,63.24,99.85
11103,20.04,25.76,37.21,17.17,34.35,60.11,28.62,42.93,45.8,48.66,71.56,68.69,60.11,131.66,223.26,223.26,174.6,289.09,337.75,349.2,317.71,403.58,538.11,463.69,409.3,457.96,360.65,323.44,246.15,294.81,334.88,412.17,452.24,415.03,363.51,383.54,237.57,174.6,105.9,111.63,51.52,40.07,22.9,5.72,14.31,2.86,17.17,51.52,51.52,62.97,80.14,140.25,183.18,237.57,163.15,120.22,137.39,151.7,137.39,154.56,105.9,120.22,105.9,57.25,68.69,88.73,128.8,180.32,208.95,314.85,374.96,1542.76,3225.77,4579.62,3881.23,1803.23,618.25,317.71,163.15,91.59,71.56,83.01,71.56,62.97,57.25
11104,15.73,23.59,11.79,23.59,15.73,3.93,15.73,15.73,23.59,15.73,43.24,47.18,90.42,114.01,176.91,169.04,224.08,259.46,310.57,357.75,310.57,342.02,377.4,271.26,420.65,338.09,389.2,322.36,294.85,377.4,310.57,294.85,408.85,345.95,302.71,220.15,176.91,102.21,102.21,82.56,23.59,7.86,19.66,23.59,3.93,11.79,7.86,0,39.31,39.31,102.21,153.32,125.8,121.87,114.01,82.56,114.01,78.63,145.46,74.69,82.56,78.63,55.04,66.83,70.76,62.9,110.08,149.39,133.66,196.56,231.94,998.54,2350.9,3152.88,3141.08,1458.5,774.46,298.78,169.04,78.63,78.63,66.83,39.31,47.18,82.56
11105,11.05,16.58,22.11,38.68,27.63,33.16,11.05,13.82,33.16,58.03,80.13,55.26,55.26,212.77,243.16,254.21,234.87,295.66,323.3,378.56,403.43,433.82,618.96,466.98,400.66,367.51,240.4,270.79,240.4,295.66,295.66,298.43,431.06,411.72,386.85,315.01,218.29,138.16,63.55,60.79,60.79,49.74,24.87,22.11,5.53,11.05,33.16,13.82,33.16,80.13,66.32,168.56,157.5,207.24,110.53,151.98,118.82,135.4,140.92,121.58,82.9,77.37,63.55,52.5,69.08,60.79,129.87,204.48,201.71,281.85,331.58,1376.08,2633.33,3371.11,2727.28,1273.84,671.46,295.66,179.61,91.19,82.9,52.5,33.16,55.26,85.66
11106,37.4,21.37,13.36,10.69,21.37,18.7,50.76,29.39,32.06,61.45,45.42,66.79,88.17,93.51,165.65,165.65,197.71,312.59,336.64,240.46,264.5,379.39,547.71,384.73,400.76,416.79,341.98,350,312.59,299.24,256.49,446.18,400.76,371.37,371.37,245.8,208.4,122.9,96.18,66.79,45.42,34.73,29.39,10.69,10.69,18.7,16.03,16.03,42.75,61.45,141.6,141.6,170.99,168.32,146.95,187.02,154.96,168.32,88.17,125.57,96.18,168.32,117.56,56.11,74.81,133.59,146.95,144.27,170.99,272.52,253.82,1044.66,2388.55,3299.61,2930.91,1370.61,675.95,304.58,176.34,85.5,66.79,56.11,64.12,42.75,96.18
11109,34.71,0,34.71,0,0,0,17.35,52.06,17.35,17.35,34.71,104.12,52.06,69.41,121.47,121.47,190.88,208.23,277.64,295,225.59,156.18,520.58,520.58,451.17,242.94,138.82,312.35,190.88,260.29,225.59,242.94,52.06,312.35,156.18,208.23,86.76,52.06,69.41,86.76,0,17.35,34.71,17.35,34.71,0,0,0,52.06,52.06,104.12,34.71,208.23,156.18,190.88,104.12,69.41,225.59,190.88,173.53,277.64,225.59,121.47,86.76,121.47,86.76,156.18,260.29,173.53,399.11,295,1943.51,2828.51,2498.8,2394.69,954.4,607.35,364.41,121.47,69.41,104.12,69.41,138.82,86.76,104.12
11201,19.26,3.21,16.05,22.47,4.82,11.24,36.92,32.11,19.26,19.26,33.71,33.71,48.16,73.84,105.95,149.29,105.95,208.69,152.5,152.5,173.37,219.92,300.19,303.4,293.77,300.19,183,160.53,168.56,213.5,199.06,189.42,178.19,248.82,215.11,166.95,117.19,89.9,59.4,51.37,38.53,16.05,32.11,27.29,22.47,12.84,14.45,19.26,28.9,72.24,89.9,165.34,166.95,138.05,163.74,158.92,115.58,128.42,208.69,154.11,133.24,86.69,112.37,91.5,61,97.92,133.24,223.14,191.03,235.98,366.01,1764.21,2420.78,2374.22,2337.3,1001.7,621.25,364.4,192.63,125.21,134.84,104.34,112.37,168.56,183
11203,10.91,6.82,10.91,23.19,16.37,16.37,12.28,28.64,21.82,30.01,38.19,38.19,46.38,58.65,90.02,105.03,115.94,158.22,223.69,261.89,242.79,294.62,357.37,330.09,375.1,336.91,256.43,257.79,195.05,220.97,210.05,259.16,270.07,304.17,249.61,231.88,271.43,175.95,145.95,110.48,72.29,57.29,36.83,20.46,16.37,20.46,13.64,19.1,20.46,45.01,69.56,109.12,141.85,155.49,141.85,155.49,128.21,106.39,132.31,113.21,125.49,92.75,75.02,58.65,62.74,60.02,80.48,77.75,84.57,136.4,195.05,878.41,2294.23,3504.09,2801.63,1115.74,471.94,235.97,110.48,70.93,34.1,36.83,21.82,28.64,31.37
11204,28.54,45.4,36.32,33.73,48,32.43,64.86,131.02,111.56,120.64,97.29,92.1,89.51,143.99,120.64,128.43,182.91,290.58,291.88,386.57,430.68,441.06,579.86,492.95,425.49,396.95,341.17,352.85,345.06,320.42,345.06,358.03,307.44,341.17,227.01,230.91,181.61,153.07,95.99,41.51,48,27.24,40.21,11.68,11.68,14.27,14.27,11.68,10.38,35.03,50.59,72.64,97.29,85.62,111.56,153.07,141.4,136.21,172.53,186.8,136.21,216.64,175.13,143.99,94.7,89.51,114.16,86.91,111.56,207.56,206.26,391.76,1231.07,2677.48,3108.16,1703.26,902.87,382.68,265.93,151.78,76.54,36.32,38.92,32.43,35.03
11205,19.85,17.65,13.24,30.88,6.62,13.24,41.91,61.77,41.91,44.12,39.71,61.77,52.94,52.94,97.06,125.74,156.62,145.59,187.5,165.44,176.47,191.92,300.01,295.59,372.8,280.15,262.51,262.51,222.8,302.21,236.03,293.39,216.18,322.07,165.44,169.86,108.09,99.27,97.06,41.91,50.74,22.06,8.82,4.41,11.03,8.82,19.85,13.24,28.68,46.32,92.65,127.94,172.06,161.03,183.09,132.36,119.12,158.83,282.36,240.45,165.44,229.42,229.42,169.86,180.89,130.15,130.15,165.44,145.59,183.09,335.3,1217.67,1947.83,2847.85,2466.23,1442.68,635.31,377.21,238.24,141.18,90.44,59.56,75,81.62,81.62
11206,11.53,19.61,14.99,16.15,18.45,24.22,36.9,42.67,43.82,43.82,40.36,77.27,72.66,100.33,124.55,151.08,140.7,228.35,258.33,231.81,251.41,306.77,405.95,424.4,356.36,416.33,359.82,392.11,318.3,345.98,324.07,357.51,340.21,294.08,272.17,229.5,205.28,162.61,101.49,70.35,56.51,41.52,18.45,12.69,16.15,10.38,14.99,21.91,35.75,72.66,111.87,128.01,186.83,182.22,191.44,214.51,156.84,155.69,234.11,194.9,183.37,199.52,141.85,154.54,128.01,137.24,124.55,160.3,179.91,172.99,245.65,1428.9,2335.37,3509.4,2898.17,1413.91,591.63,324.07,187.98,95.72,66.89,56.51,55.36,88.8,61.12
11207,21.34,15.72,6.74,14.6,22.46,26.96,14.6,32.57,34.82,40.43,33.7,48.3,42.68,74.13,151.63,160.62,172.97,244.86,272.94,238.12,277.43,340.33,505.44,495.33,478.48,561.6,354.93,334.71,288.66,409.97,333.59,284.17,368.41,397.61,332.47,354.93,293.15,247.1,206.67,122.43,87.61,52.79,29.2,25.83,20.22,23.59,24.71,21.34,37.07,57.28,97.72,107.83,157.25,215.65,190.94,186.45,167.36,171.85,174.1,159.49,157.25,132.54,96.59,77.5,61.78,58.41,78.62,111.2,117.94,165.11,258.33,876.09,2527.19,4080.56,3394.29,1301.78,533.52,285.29,132.54,78.62,53.91,32.57,39.31,25.83,35.94
11208,23.02,24.07,25.11,25.11,26.16,43.95,10.46,26.16,39.76,51.27,21.97,75.34,64.88,128.71,153.82,170.56,231.26,287.76,334.85,299.27,345.31,387.17,587.03,581.8,570.29,558.78,459.37,406.01,327.53,412.28,336.94,332.76,374.61,418.56,408.1,390.31,370.43,236.49,160.1,117.2,63.83,63.83,25.11,20.93,20.93,49.18,20.93,28.25,39.76,53.37,63.83,107.78,183.12,171.61,176.84,205.1,137.08,139.17,161.15,136.03,115.1,109.87,84.76,76.39,72.2,86.85,73.25,102.55,81.62,128.71,172.66,659.24,2007.01,3863.33,3551.5,1536.12,693.77,330.66,130.8,87.9,51.27,40.81,21.97,31.39,34.53
11209,26.66,29.62,26.66,34.07,25.18,22.22,20.74,38.51,39.99,48.88,66.65,82.95,66.65,112.57,128.86,198.48,238.47,288.83,303.64,322.89,405.84,460.64,585.06,533.22,537.66,428.06,336.22,373.25,297.71,302.16,308.08,330.3,284.38,374.73,322.89,311.04,256.24,151.08,137.75,88.87,38.51,22.22,20.74,13.33,10.37,10.37,14.81,13.33,28.14,42.95,69.61,115.53,151.08,162.93,177.74,119.97,154.04,159.97,145.15,131.82,115.53,103.68,65.17,60.73,78.5,75.54,112.57,186.63,164.41,247.35,315.49,747.99,1989.2,3217.09,2991.95,1482.65,832.41,410.28,211.81,122.94,94.79,38.51,35.55,44.43,56.28
11210,15.22,27.4,27.4,38.06,42.63,51.76,66.98,150.71,179.64,178.12,126.36,95.91,47.19,133.97,135.49,137.01,207.04,310.56,334.92,348.62,327.31,327.31,382.12,379.07,401.91,321.22,275.55,205.52,255.76,255.76,263.37,254.24,229.88,269.46,220.74,213.13,149.19,102,106.57,117.22,53.28,39.58,18.27,16.75,10.66,9.13,6.09,19.79,28.93,51.76,68.51,98.95,168.98,173.55,143.1,147.67,150.71,115.7,162.89,150.71,147.67,105.04,91.34,97.43,124.83,123.31,73.07,89.82,76.12,132.45,147.67,564.8,1857.29,3140.65,2534.75,1103.72,535.87,258.8,117.22,74.6,47.19,27.4,12.18,30.45,31.97
11211,20.66,6.89,16.72,19.67,16.72,33.44,67.87,81.64,97.38,70.82,65.9,88.52,103.28,144.59,148.52,181.97,188.85,270.49,230.16,210.49,207.54,225.25,365.9,334.43,318.69,359.02,277.38,240,255.74,345.24,336.39,288.2,246.88,303.93,238.03,181.97,154.43,102.29,67.87,32.46,22.62,9.84,8.85,13.77,26.56,10.82,5.9,26.56,32.46,94.43,109.18,168.2,178.03,185.9,186.88,185.9,190.82,209.51,317.7,244.92,232.13,329.51,240.98,205.57,162.29,180.98,170.16,203.61,214.43,225.25,413.11,2312.45,2393.11,2819.01,2398.02,1225.57,594.1,401.31,240,131.8,98.36,109.18,107.21,107.21,128.85
11212,12.17,14.87,12.17,17.58,6.76,8.11,10.82,37.85,31.09,28.39,29.74,40.56,60.84,77.06,104.1,150.07,140.6,246.06,236.59,239.3,243.35,351.51,465.07,451.55,528.61,482.65,321.77,379.9,323.12,342.04,379.9,340.69,351.51,419.11,436.68,436.68,312.3,260.93,160.88,128.44,109.51,109.51,40.56,40.56,16.22,27.04,14.87,13.52,40.56,51.37,74.36,121.68,219.02,251.46,290.67,264.98,205.5,183.87,197.39,155.47,178.46,132.49,100.04,104.1,97.34,87.88,70.3,75.71,70.3,141.96,248.76,927.44,2910.76,4646.67,3462.36,1331.68,588.1,196.03,136.55,82.47,39.21,24.34,25.69,39.21,36.5
11213,15.48,20.12,15.48,21.67,34.06,15.48,55.73,61.92,55.73,44.89,46.44,55.73,65.01,97.52,119.19,139.32,136.22,232.19,216.71,243.03,303.4,304.95,326.62,373.06,377.7,393.18,323.52,368.41,283.28,339,373.06,368.41,298.76,345.19,239.93,284.82,249.22,153.25,150.15,97.52,43.34,66.56,32.51,20.12,20.12,7.74,17.03,29.41,24.77,41.79,82.04,142.41,176.47,184.21,202.78,178.02,136.22,165.63,154.8,173.37,235.29,280.18,191.95,103.71,77.4,63.47,82.04,94.43,105.26,122.29,215.17,1041.78,2513.88,3899.3,3349.78,1212.05,561.91,264.7,116.1,80.49,58.82,35.6,41.79,51.08,77.4
11214,18.32,26.94,14.01,18.32,29.09,24.78,25.86,18.32,31.25,48.48,40.94,86.19,72.19,106.66,152.99,161.61,167,268.28,322.15,377.1,458.98,476.22,629.21,637.83,555.95,507.47,435.28,420.19,352.32,356.63,349.08,408.34,362.01,377.1,319.99,307.07,269.36,187.47,124.98,100.2,54.95,39.86,21.55,12.93,11.85,14.01,11.85,11.85,45.25,52.79,75.42,127.14,99.12,93.74,78.65,115.28,114.21,101.28,118.52,116.36,60.34,58.18,78.65,62.49,60.34,66.8,103.43,154.07,113.13,214.41,193.94,484.84,1274.59,2515.78,3073.88,1653.84,875.94,422.35,216.56,117.44,67.88,37.71,18.32,24.78,36.63
11215,18.67,5.75,11.49,12.93,8.62,10.05,17.24,5.75,12.93,40.22,21.54,33.03,51.71,93.36,101.98,127.83,140.76,191.03,202.52,186.72,169.48,209.7,209.7,282.95,202.52,183.84,152.25,166.61,147.94,153.68,120.65,119.21,169.48,192.46,155.12,135.01,86.18,68.94,58.89,47.4,35.91,14.36,15.8,11.49,2.87,8.62,14.36,14.36,31.6,47.4,79,91.92,139.32,143.63,114.9,145.06,110.59,124.96,100.54,100.54,83.3,97.67,106.28,35.91,51.71,100.54,114.9,109.16,114.9,188.15,315.98,1194.98,1859.98,1733.59,1724.97,854.59,561.59,288.69,145.06,137.88,86.18,71.81,94.79,116.34,156.55
11216,12.77,14.59,5.47,18.24,12.77,21.89,12.77,25.54,36.48,45.6,52.9,25.54,40.13,74.78,116.73,116.73,153.21,164.16,178.75,171.45,178.75,235.29,322.84,317.37,328.32,304.6,255.36,238.94,244.41,248.06,253.53,238.94,213.4,290.01,180.57,242.59,240.76,145.92,102.14,83.9,40.13,34.66,29.18,20.06,20.06,14.59,20.06,14.59,43.78,49.25,120.38,155.04,195.17,178.75,202.46,165.98,140.45,149.57,182.4,149.57,136.8,116.73,83.9,89.37,63.84,124.03,142.27,169.63,180.57,215.23,321.02,1689,2664.83,2922.01,2486.08,1147.28,587.32,311.9,191.52,153.21,78.43,52.9,78.43,134.97,129.5
11217,17.13,26.91,17.13,19.57,12.23,4.89,17.13,22.02,46.49,39.15,51.38,31.81,53.83,88.08,97.87,97.87,156.59,181.06,188.4,188.4,163.93,249.57,254.46,376.8,266.69,305.84,269.14,229.99,256.91,205.53,178.61,122.34,171.27,203.08,198.19,200.63,129.68,112.55,68.51,48.93,41.59,24.47,7.34,14.68,17.13,14.68,19.57,12.23,58.72,66.06,105.21,159.04,183.51,178.61,146.8,166.38,193.29,141.91,163.93,127.23,90.53,124.78,85.64,66.06,46.49,83.19,132.12,176.17,195.74,178.61,313.18,1612.4,2405.14,2627.8,2324.4,981.14,628.81,330.31,171.27,159.04,102.76,88.08,110.1,127.23,149.25
11218,12.16,20.27,18.92,28.38,21.62,29.73,58.11,59.46,101.36,97.3,87.84,78.38,82.44,118.93,121.63,170.28,174.33,241.91,268.93,321.64,304.07,340.56,444.62,502.73,420.29,410.83,350.02,322.99,281.1,272.99,266.23,275.69,298.67,304.07,270.29,256.77,168.93,125.68,90.55,67.57,31.08,29.73,18.92,14.87,10.81,16.22,14.87,4.05,24.33,51.35,86.49,91.9,117.57,136.49,121.63,131.09,148.66,106.76,144.6,135.14,170.28,187.85,137.85,82.44,116.22,93.25,113.52,118.93,106.76,152.71,221.63,664.9,1402.78,2552.84,3188.01,1810.91,778.42,378.4,232.45,113.52,90.55,35.14,25.68,51.35,51.35
11219,15.54,23.31,36.63,36.63,44.4,29.97,61.06,125.44,168.73,155.41,121,92.14,76.6,165.4,155.41,123.22,125.44,198.71,212.03,310.83,314.16,399.63,444.04,386.31,354.12,327.48,290.84,228.68,268.64,284.18,334.14,324.15,325.26,269.75,216.47,187.61,154.3,109.9,74.38,44.4,39.96,27.75,7.77,4.44,5.55,5.55,11.1,5.55,15.54,16.65,41.07,44.4,61.06,49.95,92.14,95.47,137.65,136.54,289.73,251.99,235.34,330.81,242,202.04,128.77,85.48,67.72,86.59,83.26,107.68,121,286.4,916.94,2622.04,3043.88,1829.43,1000.19,461.8,353.01,121,61.06,31.08,34.41,14.43,27.75
11220,41.23,72.95,29.6,21.14,22.2,12.69,12.69,12.69,41.23,45.46,35.94,59.2,59.2,65.55,77.17,133.21,169.15,247.38,381.64,403.84,521.19,642.77,763.29,651.23,588.85,453.53,335.13,283.33,325.61,389.04,344.64,436.62,416.53,513.79,501.11,384.82,320.33,211.44,143.78,104.66,41.23,44.4,13.74,21.14,9.51,14.8,9.51,10.57,12.69,35.94,35.94,69.77,66.6,66.6,77.17,80.35,74,62.37,96.2,101.49,62.37,69.77,76.12,69.77,57.09,69.77,76.12,80.35,95.15,185.01,231.52,459.88,1594.24,3287.85,4265.74,2408.27,1328.88,569.82,192.41,124.75,70.83,34.89,25.37,25.37,39.12
